Frequency,M,Station,On,Off,Language,Site,TX_Country,Days,Target,Notes,Pwr,Azi,Org_Country,Source,Date
9870000,AM,China Radio Intl,1300,1557,English,Xian,China,smtwtfs,,CRI b15,500,200,,Aoki,
9870000,AM,CRI,1300,1400,English,Xian,China,smtwtfs,"49,54W",,500,200,China,HFCC,
9870000,AM,China Radio Intl,1400,1500,English,"Xian-Xianyang ""594""",China,smtwtfs,SEA,x,,,China,EiBi,
9870000,AM,CRI,1400,1500,English,Xian,China,smtwtfs,"49,54W",,500,200,China,HFCC,
9870000,AM,China Radio Intl,1500,1600,English,"Xian-Xianyang ""594""",China,smtwtfs,SEA,x,,,China,EiBi,
9870000,AM,CRI,1500,1600,English,Xian,China,smtwtfs,"49,54W",,500,200,China,HFCC,
9870000,AM,BSKSA,1800,2300,Arabic,Riyadh,Saudi Arabia,smtwtfs,"27,28,37N",ARS,500,310,Saudi Arabia,HFCC,
9870000,AM,BSKSA 1,1800,2300,Arabic,Riyadh,Saudi Arabia,smtwtfs,Eu,,,,Saudi Arabia,EiBi,
9870000,AM,R.Saudi,1800,2300,Arabic,Riyadh,Saudi Arabia,smtwtfs,,BSKSA b15 Genaral 1st,500,310,,Aoki,
9870000,AM,KBS World Radio,2200,2300,Korean,Kimjae,"Korea, Rep.",smtwtfs,"43N,44N",,250,290,S.Korea,HFCC,
9875000,AM,Lithuanian Nat.RTV,0,100,Lithuanian/English,Sitkunai,Lithuania,smtwtfs,"4,8,9",LTU,100,310,Lithuania,HFCC,
9875000,AM,V.Vietnam 2,150,1000,Vietnamese,Hanoi-Metri,Vietnam - No.,smtwtfs,VTN,m,,,Vietnam,EiBi,
9875000,AM,VOIRI,420,520,Kurdish,Sirjan,Iran,smtwtfs,ME ,s,,,Iran,EiBi,
9875000,AM,VoIRI,420,520,Kurdish,Sirjan,Iran,smtwtfs,39,KUrd-SO,500,310,Iran,HFCC,
9875000,AM,VoIRI,420,520,Kurdish,Sirjan,Iran,smtwtfs,,IRIB b15,500,310,,Aoki,
9875000,AM,V.Korea,730,827,Russian,Kujang,"Korea, DPR",smtwtfs,,VOK b15,200,28,,Aoki,
9875000,AM,V.Korea,730,930,Russian,Kujang,"Korea, DPR",smtwtfs,FE ,u,,,N.Korea,EiBi,
9875000,AM,V.Korea,830,927,Russian,Kujang,"Korea, DPR",smtwtfs,,VOK b15,200,28,,Aoki,
9875000,AM,China Radio Intl,1600,1657,English,Kashi-Saibagh 2022,China,smtwtfs,,CRI b15,500,298,,Aoki,
9875000,AM,China Radio Intl,1600,1700,English,Kashi (Kashgar),China,smtwtfs,Eu ,ka,,,China,EiBi,
9875000,AM,CRI,1600,1700,English,Kashi,China,smtwtfs,27-29,,500,298,China,HFCC,
9875000,AM,V.Korea,1830,1927,French,Kujang,"Korea, DPR",smtwtfs,,VOK b15,200,296,,Aoki,
9875000,AM,V.Korea,1830,1930,French,Kujang,"Korea, DPR",smtwtfs,ME ,u,,,N.Korea,EiBi,
9875000,AM,V.Korea,1930,2027,English,Kujang,"Korea, DPR",smtwtfs,,VOK b15,200,296,,Aoki,
9875000,AM,V.Korea,1930,2030,English,Kujang,"Korea, DPR",smtwtfs,ME ,u,,,N.Korea,EiBi,
9875000,AM,V.Korea (KCBS),2030,2120,Korean,Kujang,"Korea, DPR",smtwtfs,,VOK b15,200,296,,Aoki,
9875000,AM,V.Korea KCBS,2030,2130,Korean,Kujang,"Korea, DPR",smtwtfs,ME ,u,,,N.Korea,EiBi,
9875000,AM,V.Korea,2130,2227,Chinese,Kujang,"Korea, DPR",smtwtfs,,VOK b15,200,271,,Aoki,
9875000,AM,V.Korea,2130,2230,Mandarin,Kujang,"Korea, DPR",smtwtfs,FE ,u,,,N.Korea,EiBi,
9875000,AM,V.Korea,2230,2327,Chinese,Kujang,"Korea, DPR",smtwtfs,,VOK b15,200,271,,Aoki,
9875000,AM,V.Korea,2230,2330,Mandarin,Kujang,"Korea, DPR",smtwtfs,FE ,u,,,N.Korea,EiBi,
9875000,AM,V.Korea (KCBS),2330,20,Korean,Kujang,"Korea, DPR",smtwtfs,,VOK b15,200,271,,Aoki,
9875000,AM,V.Korea KCBS,2330,30,Korean,Kujang,"Korea, DPR",smtwtfs,FE ,u,,,N.Korea,EiBi,
9880000,AM,CNR1 Jammer,0,100,Mandarin,,China,smtwtfs,FE,,,,China,EiBi,
9880000,AM,IBB,0,100,Mandarin,"Ban Dung, Udon Thani Prov",Thailand,smtwtfs,"43,44",,250,30 ,USA,HFCC,
9880000,AM,VOA,0,100,Mandarin,"Ban Dung, Udon Thani Prov.",Thailand,smtwtfs,FE ,/THA-u,,,USA,EiBi,
9880000,AM,VOA,0,100,Chinese,"Ban Dung, Udon Thani Prov",Thailand,smtwtfs,,VOA/IBB b15,500,30,,Aoki,
9880000,AM,BBC,300,330,Pashto,Erevan,Georgia,smtwtfs,SAs,0,100,125,UK,BAB,
9880000,AM,BBC,300,330,Pashto,Gavar (Kamo),Armenia,smtwtfs,AFG,/ARM,,,UK,EiBi,
9880000,AM,BBC,300,330,Pashto,Erevan,Armenia,smtwtfs,"40E,41NW",PASHA,100,125,UK,HFCC,
9880000,AM,BBC,300,330,Pashto,Yerevan-Gavar,Armenia,smtwtfs,,BBC b15,100,125,,Aoki,
9880000,AM,China Radio Intl,800,857,Chinese,Beijing,China,smtwtfs,,CRI b15,150,95,,Aoki,
9880000,AM,China Radio Intl,800,900,Mandarin,Beijing,China,smtwtfs,FE ,b,,,China,EiBi,
9880000,AM,CRI,800,900,Chinese,Beijing,China,smtwtfs,"44NE,45N",,150,95 ,China,HFCC,
9880000,AM,China Radio Intl,1000,1057,Chinese,Beijing,China,smtwtfs,,CRI b15,500,322,,Aoki,
9880000,AM,China Radio Intl,1000,1100,Mandarin,Beijing,China,smtwtfs,Sib,b,,,China,EiBi,
9880000,AM,CRI,1000,1100,Chinese,Beijing,China,smtwtfs,"31,32",,500,322,China,HFCC,
9880000,AM,China Radio Intl,1100,1157,Burmese,Kunming,China,smtwtfs,,CRI b15,100,225,,Aoki,
9880000,AM,China Radio Intl,1100,1200,Burmese,Kunming-Anning (Yunnan),China,smtwtfs,SEA,k,,,China,EiBi,
9880000,AM,CRI,1100,1200,Burmese,Kunming,China,smtwtfs,49W,,100,225,China,HFCC,
9880000,AM,AWR,1200,1300,Korean,Facpi Point,Guam,smtwtfs,FE ,/GUM-a,,,USA,EiBi,
9880000,AM,KSDA,1200,1300,0,Agat,Guam,smtwtfs,"44NE,45NW                     ",,100,330,0,FCC,
9880000,AM,KSDA,1200,1300,Korean,"Agat, Guam",Guam,smtwtfs,"44NE,45NW",x207,100,330,USA,HFCC,
9880000,AM,KSDA-AWR,1200,1300,Korean,Agat,Guam,smtwtfs,,AWR b15,100,330,,Aoki,
9880000,AM,China Radio Intl,1300,1357,Burmese,Kunming,China,smtwtfs,,CRI b15,100,225,,Aoki,
9880000,AM,China Radio Intl,1300,1400,Burmese,Kunming-Anning (Yunnan),China,smtwtfs,SEA,k,,,China,EiBi,
9880000,AM,CRI,1300,1400,Burmese,Kunming,China,smtwtfs,49W,,100,225,China,HFCC,
9880000,AM,R.Romania Int.,1300,1400,Romanian,Saftica,Romania,smtwtfs,Eu ,s,,,Romania,EiBi,
9880000,AM,R.Romania Intl,1300,1357,Romanian,Tiganesti,Romania,smtwtfs,,ROR b15,100,300,,Aoki,
9880000,AM,R.Romania Intl,1300,1400,Romanian,Tiganesti,Romania,smtwtfs,28N,,100,300,Romania,HFCC,
9880000,AM,China Radio Intl,1400,1500,Khmer,Nanning (Guangxi),China,smtwtfs,SEA,n,,,China,EiBi,
9880000,AM,China Radio Intl,1400,1500,Cambodian,Nanning,China,smtwtfs,,CRI b15,100,200,,Aoki,
9880000,AM,CRI,1400,1500,Khmer,Nanning,China,smtwtfs,49SE,,100,200,China,HFCC,
9880000,AM,R.Romania Int.,1400,1500,Russian,Tiganesti,Romania,smtwtfs,CAs,t,,,Romania,EiBi,
9880000,AM,R.Romania Intl,1400,1457,Russian,Tiganesti,Romania,smtwtfs,,ROR b15,300,52,,Aoki,
9880000,AM,R.Romania Intl,1400,1500,Russian,Tiganesti,Romania,smtwtfs,31S,,300,52 ,Romania,HFCC,
9880000,AM,China Radio Intl,1500,1600,English,Nanning (Guangxi),China,smtwtfs,SEA,n,,,China,EiBi,
9880000,AM,China Radio Intl,1500,1800,English,Nanning,China,smtwtfs,,CRI b15,100,200,,Aoki,
9880000,AM,CRI,1500,1600,English,Nanning,China,smtwtfs,49SE,,100,200,China,HFCC,
9880000,AM,V.Russia,1500,1800,Russian,Petro.Kam.,Russ - As,smtwtfs,49,,250,247,Russia,HFCC,
9880000,AM,China Radio Intl,1600,1700,English,Nanning (Guangxi),China,smtwtfs,SEA,n,,,China,EiBi,
9880000,AM,CRI,1600,1700,English,Nanning,China,smtwtfs,49SE,,100,200,China,HFCC,
9880000,AM,China Radio Intl,1700,1800,English,Nanning (Guangxi),China,smtwtfs,SEA,n,,,China,EiBi,
9880000,AM,CRI,1700,1800,English,Nanning,China,smtwtfs,49SE,,100,200,China,HFCC,
9885000,AM,IBB,330,400,Kinyarwanda,Pinheira,Sao Tome,smtwtfs,"52,53",,100,100,USA,HFCC,
9885000,AM,VOA,330,400,Kinyarwanda,Pinheira,Sao Tome,smtwtfs,EAf,/STP,,,USA,EiBi,
9885000,AM,VOA,330,430,Kirundi,Pinheira,Sao Tome,smtwtfs,,VOA/IBB b15,100,100,,Aoki,
9885000,AM,IBB,400,430,Kinyarwanda,Pinheira,Sao Tome,smtwtfs,"52,53",,100,100,USA,HFCC,
9885000,AM,VOA,400,430,Kinyarwanda,Pinheira,Sao Tome,smtwtfs,EAf,/STP,,,USA,EiBi,
9885000,AM,IBB,430,530,Kinyarwanda,Pinheira,Sao Tome,.mtwtf.,"52,53",,100,100,USA,HFCC,
9885000,AM,VOA,430,505,Kirundi,Pinheira,Sao Tome,.mtwtf.,,VOA/IBB b15,100,100,,Aoki,
9885000,AM,VOA,430,530,Kinyarwanda,Pinheira,Sao Tome,.mtwtf.,EAf,/STP,,,USA,EiBi,
9885000,AM,VOA,505,530,English,Pinheira,Sao Tome,.mtwtf.,,VOA/IBB b15,100,100,,Aoki,
9885000,AM,IBB,530,600,French,Moepeng Hill,Botswana,.mtwtf.,"46-48,52,53",,100,10 ,USA,HFCC,
9885000,AM,VOA,530,630,French,Moepeng Hill,Botswana,.mtwtf.,Af ,/BOT,,,USA,EiBi,
9885000,AM,VOA,530,630,French,Moepeng Hill,Botswana,.mtwtf.,,VOA/IBB b15,100,10,,Aoki,
9885000,AM,IBB,600,630,French,Moepeng Hill,Botswana,.mtwtf.,"46-48,52,53",,100,10 ,USA,HFCC,
9885000,AM,BSKSA,1500,1800,Turkish,Riyadh,Saudi Arabia,smtwtfs,"23-26,30-35,40,42-45",ARS,500,40 ,Saudi Arabia,HFCC,
9885000,AM,BSKSA Riad,1500,1600,Turkmen,Riyadh,Saudi Arabia,smtwtfs,CAs,,,,Saudi Arabia,EiBi,
9885000,AM,R.Saudi Intl,1500,1600,Turkmen,Riyadh,Saudi Arabia,smtwtfs,,BSKSA b15,500,40,,Aoki,
9885000,AM,BSKSA Riad,1600,1700,Uzbek,Riyadh,Saudi Arabia,smtwtfs,CAs,,,,Saudi Arabia,EiBi,
9885000,AM,R.Saudi Intl,1600,1700,Uzbek,Riyadh,Saudi Arabia,smtwtfs,,BSKSA b15,500,40,,Aoki,
9885000,AM,BSKSA Riad,1700,1800,Tajik,Riyadh,Saudi Arabia,smtwtfs,CAs,,,,Saudi Arabia,EiBi,
9885000,AM,R.Saudi Intl,1700,1757,Tajik,Riyadh,Saudi Arabia,smtwtfs,,BSKSA b15,500,40,,Aoki,
9885000,AM,R.Cairo,1900,2000,Russian,Abis,Egypt,smtwtfs,EEu,a,,,Egypt,EiBi,
9885000,AM,R.Cairo,1900,2000,Russian,Abis,Egypt,smtwtfs,29,,250,5  ,Egypt,HFCC,
9890000,AM,CNR 13,100,200,Uyghur,Lingshi (Shanxi),China,smtwtfs,CHN,L,,,China,EiBi,
9890000,AM,R.Ukraine Intl,700,1100,Ukrainian/English,Kharkov,Ukraine,smtwtfs,"27,28",reserv,100,277,Ukraine,HFCC,
9890000,AM,CNR,1100,1805,Uighur,Lingshi,China,smtwtfs,42NW,,100,286,China,HFCC,
9890000,AM,CNR 13,1100,1805,Uyghur,Lingshi (Shanxi),China,smtwtfs,CHN,L,,,China,EiBi,
9890000,AM,CNR 13,1100,1805,Uyghur,Lingshi 725,China,smtwtfs,,CNR13 b15,100,286,,Aoki,
9890000,AM,V.Russia,1300,1500,Russian,Petro.Kam.,Russ - As,smtwtfs,45,,250,241,Russia,HFCC,
9890000,AM,V.Korea,1530,1627,Arabic,Kujang,"Korea, DPR",smtwtfs,,VOK b15,200,296,,Aoki,
9890000,AM,V.Korea,1530,1630,Arabic,Kujang,"Korea, DPR",smtwtfs,ME ,u,,,N.Korea,EiBi,
9890000,AM,V.Korea,1630,1727,English,Kujang,"Korea, DPR",smtwtfs,,VOK b15,200,296,,Aoki,
